Source,Medium
google,organic
(direct),(none)
Campanhas,Interno
Campanhas,LAL Compradores
Campanhas,Quente
Organico,Fronteiras.com
Inbound,E-mails
RD Station,email
Campanhas,Morno
Inbound,Email
cursos.matogrossodosul.fiocruz.br,
bing,organic
temporada.fronteiras.com,
Social,Instagram
Campanhas,Fortaleza | Interesses
Campanhas,SP+POA | Interesses | Carrossel
Campanhas,Frio
Campanhas,Interesses
Campanhas,SP | LAL
(not set),(not set)
eadunisinos.grupoa.education,
br.search.yahoo.com,
linktr.ee,
Campanhas,POA | LAL
Campanhas,SP+POA | LAL Compradores | Autocuidado KV Alternativo
l.facebook.com,
Inbound,E-mail Lançamento
Parceiros,Valor
Social,Linktree
Campanhas,AtC | Interesses | Carrossel
nc-www5.fgv.br,
l.instagram.com,
m.facebook.com,
Campanhas,LAL Compradores | Stories e Reels
Parceiros,Folha
lm.facebook.com,
ls.cursos.fgv.br,
youtube.com,
Campanhas,{{adset.name}}
Parceiros,Diario do nordeste
social,instagram
Parceiros,ZeroHora
Campanhas,POA | Interno
avaefape2.educacao.sp.gov.br,
Campanhas,Impulsionamento
instagram.com,
Parceiros,Zero Hora
pucprdigital.grupoa.education,
Organico,Catálogo Fronteiras+
Campanhas,LAL Compradores | Vídeos Stories
classroom.google.com,
Campanhas,Digital | LAL Compradores | Autocuidado KV Alternativo
cursos.educacao.ba.gov.br,
Campanhas,SP+POA | LAL Compradores | Carrossel
femavirtual.mrooms.net,
fronteirasdopensamento.encontrodigital.com.br,
Parceiros,Piaui
site-symplabileto-production,webapp_share
Campanhas,Facebook_Mobile_Feed
Parceiros,Instituto Ling
baidu,organic
Campanhas,LAL
Campanhas,Vídeos Gratuitos
Campanhas,Interno | Vídeos
facebook.com,
Parceiros,Livraria da Travessa
Campanhas,Digital | LAL
Parceiros,ZH
moodle.ufrgs.br,
Campanhas,Cópia - Interno
Campanhas,Digital | LAL Compradores | Autocuidado KV
duckduckgo,organic
t.co,
Campanhas,Digital | Interesses
Campanhas,SP POA | Interesses | Carrossel
Organico,Fronteiras Gratuito
moodle.unisinos.br,
Campanhas,LAL+Compradores
yahoo,organic
novomoodle.upe.br,
uab.ifba.edu.br,
Campanhas,AtC | LAL Compradores | Carrossel
Parceiros,Unimed
Campanhas,Instagram_Feed
edu670tema01pt.webflow.io,
braziljournal.com,
uqr.to,
social,facebook
Organico,Catálogo Fronteiras
poder360.com.br,
linkedin.com,
app.rdstation.com.br,
meio,email
ufmg.br,
Campanhas,Instagram
Campanhas,Cópia - LAL Compradores
Campanhas,Facebook_Stories
social,youtube
ecosia.org,organic
gauchazh.clicrbs.com.br,
Inbound,Central de Relacionamento
statics.teams.cdn.office.net,
Parceiros,FolhaSP
Parceiros,RevistaFronteiras
Campanhas,Others
Campanhas,Instagram_Stories
Parceiros,Latitudes
ead.ufjf.br,
guinote.wordpress.com,
WhatsApp,PDFvendasEXP
elearning2324.esev.ipv.pt,
Campanhas,POA | Interesses - Michael Sandel
static-dpc.unyleya.com.br,
dcset.com.br,
Campanhas,Digital | Interno
Outbound,Central de Relacionamento
Parceiros,RBS
fronteirasplus.com.br,
Campanhas,Fortaleza+|+Interesses
Campanhas,SP | LAL - Rosa Montero
mediacdns3.ulife.com.br,
ExpertSender,Email
mail.google.com,
sfmc,email
canva.com,
moodle.ifbaiano.edu.br,
mail.uol.com.br,
business.facebook.com,
lens.google.com,
Campanhas,SP | Interesses - Rosa Montero
l.workplace.com,
app.asana.com,
Campanhas,Digital | LAL Compradores | 01 Fronteiras não é para...
Parceiros,ZH_Digital
Assinantes,email
Inbound,Whatsapp
Campanhas,Digital | LAL Compradores | 02 Fronteiras não é para...
view.genial.ly,
Organico,Página Trilhas
instagram,social
Campanhas,SP+POA | LAL Compradores | Autocuidado KV
stecine.azureedge.net,
Parceiros,GZH
sebrae.dtcom2go.com.br,
Prisma,FolderTravessaA4
padlet.com,
cepedgarmorin.com,
fepi.grupoa.education,
Parceiros,FMP
Parceiros,Gaucha ZH
novaescola.org.br,
edgeservices.bing.com,
one.geekie.com.br,
eadcompetencias.mj.gov.br,
null,null
